"Name","accuracy_max_disparity","acc","ap_avg","eo2_max_diff","eo_max_diff","max_diff_dp","method","seed","f1","f2","data"
"serene-hill-1891","0.3075268817204301","0.7066666666666667","0.0985692224379624","0.3533333333333334","0.1904761904761905","0.0811768876285005","fair-scale(new)","7","1","","german_ss"
"winter-feather-1765","0.13040293040293038","0.78","0.09865874844539338","0.23333333333333336","0.11616161616161612","0.2679900744416873","c-fair(new)","4","10","","german_ss"
"worldly-brook-1887","0.30024813895781644","0.7533333333333333","0.10113615527505948","0.31999999999999995","0.11111111111111116","0.1333333333333333","fair-scale(new)","6","1","","german_ss"
"fluent-wildflower-1783","0.18608058608058609","0.7933333333333333","0.10346189767139297","0.23333333333333336","0.21212121212121215","0.2679900744416873","c-fair(new)","8","1","","german_ss"
"treasured-pond-1749","0.1523809523809524","0.76","0.1037404423840704","0.2733333333333333","0.11616161616161612","0.20645161290322575","c-fair(new)","1","1","","german_ss"
"autumn-blaze-1869","0.2537634408602151","0.7266666666666667","0.10445158664090538","0.6333333333333334","0.19658119658119655","0.1692307692307693","fair-scale(new)","2","0.01","","german_ss"
"visionary-fog-1870","0.2537634408602151","0.7266666666666667","0.10445158664090538","0.6333333333333334","0.19658119658119655","0.1692307692307693","fair-scale(new)","2","0.1","","german_ss"
"lyric-meadow-1757","0.20219780219780223","0.7533333333333333","0.1095675741465856","0.27999999999999997","0.3535353535353535","0.3245421245421245","c-fair(new)","2","100","","german_ss"
"rare-morning-1888","0.3771712158808933","0.74","0.11277794559565008","0.31999999999999995","0.1428571428571429","0.1333333333333333","fair-scale(new)","6","10","","german_ss"
"wise-sunset-1754","0.19706959706959704","0.7866666666666666","0.11765169693202264","0.2733333333333333","0.19696969696969704","0.22332506203473945","c-fair(new)","2","1","","german_ss"
"spring-dream-1759","0.21904761904761905","0.7666666666666667","0.1183202972713856","0.23333333333333336","0.25757575757575757","0.1910669975186103","c-fair(new)","3","1","","german_ss"
"azure-dawn-1875","0.28571428571428564","0.62","0.1238035342678444","0.3333333333333333","0.43290043290043295","0.22084367245657568","fair-scale(new)","3","1","","german_ss"
"skilled-shape-1873","0.28571428571428564","0.62","0.1238035342678444","0.3333333333333333","0.43290043290043295","0.22084367245657568","fair-scale(new)","3","0.01","","german_ss"
"unique-aardvark-1874","0.28571428571428564","0.62","0.1238035342678444","0.3333333333333333","0.43290043290043295","0.22084367245657568","fair-scale(new)","3","0.1","","german_ss"
"dainty-deluge-1876","0.2637362637362637","0.6666666666666666","0.13226916608883876","0.3333333333333333","0.39610389610389607","0.2717948717948718","fair-scale(new)","3","10","","german_ss"
"effortless-waterfall-1760","0.21904761904761905","0.7733333333333333","0.13279201465534005","0.2733333333333333","0.2272727272727273","0.2679900744416873","c-fair(new)","3","10","","german_ss"
"silver-armadillo-1764","0.2080586080586081","0.7866666666666666","0.13859111757075313","0.31333333333333335","0.19696969696969704","0.30024813895781644","c-fair(new)","4","1","","german_ss"
"stoic-fire-1880","0.6401985111662531","0.7333333333333333","0.14631754599684507","0.43333333333333335","0.8571428571428572","0.5487179487179488","fair-scale(new)","4","10","","german_ss"
"sweet-wildflower-1879","0.5756823821339949","0.7133333333333334","0.16885574110574603","0.43333333333333335","0.7662337662337662","0.48205128205128206","fair-scale(new)","4","1","","german_ss"
"proud-dew-1878","0.5604395604395604","0.72","0.1837048492917303","0.43333333333333335","0.7813852813852813","0.48205128205128206","fair-scale(new)","4","0.1","","german_ss"
"fiery-energy-1877","0.5604395604395604","0.72","0.1837048492917303","0.43333333333333335","0.7813852813852813","0.48205128205128206","fair-scale(new)","4","0.01","","german_ss"
